budget,result q1,result q2,result q3,sens q1,sens q2,sens q3
0.1,Cheaper by the Dozen 2 ,"['Baahubali: The Beginning\xa0' 'I Served the King of England\xa0'
 'Nomad: The Warrior\xa0' 'Ajami\xa0' '4 Months, 3 Weeks and 2 Days\xa0'
 'Sleep Dealer\xa0' 'Journey from the Fall\xa0' 'The Raid: Redemption\xa0'
 'Apocalypto\xa0' 'Ip Man 3\xa0' 'The Lunchbox\xa0'
 'In the Land of Blood and Honey\xa0' 'The Kite Runner\xa0'
 'The Gatekeepers\xa0' 'My Lucky Star\xa0' 'The Blue Room\xa0'
 'Ong-bak 2\xa0' 'Trollhunter\xa0' 'Samsara\xa0' 'Dogtooth\xa0'
 'The Celebration\xa0' 'Travelers and Magicians\xa0'
 ""Howl's Moving Castle\xa0"" 'Buen Día, Ramón\xa0'
 'Dekalog\xa0            ' 'The Passion of the Christ\xa0'
 'Mongol: The Rise of Genghis Khan\xa0' 'The Interpreter\xa0'
 'Coming Home\xa0' 'Of Horses and Men\xa0' 'The Great Raid\xa0'
 'Tsotsi\xa0' 'As It Is in Heaven\xa0' 'Central Station\xa0'
 'The Beyond\xa0' 'Winter in Wartime\xa0' 'Lilya 4-Ever\xa0' 'Oldboy\xa0'
 'Fateless\xa0' 'The Cable Guy\xa0' 'The Circle\xa0']",['USA' 'UK' 'France'],0.9999999991821908,"['0.0' '0.0' '0.0' '0.9996444671757713' '0.0' '0.9999994731554248' '0.0'
 '0.9996410245711898' '0.0' '0.9999994025065514' '0.9999992878191535'
 '0.0' '0.9999694310584669' '0.9997126903294848' '0.0'
 '0.9999999947010146' '0.9999605086588276' '0.9999887785100727' '0.0'
 '0.0' '0.9999706830532437' '0.0' '0.9999831692486797'
 '0.9999929807566171' '0.999986528649936' '0.0' '0.0' '0.999972056091841'
 '0.9999999417042266' '0.0' '0.0' '0.0' '0.9999909636519233'
 '0.9993481117118479' '0.9999693139385705' '0.999825777251667'
 '0.9999615327314983' '0.995281494515034' '0.0' '0.9999999953295599'
 '0.9999839063170443']",['0.9999998728992576' '0.9999958036293238' '0.9999936501499724']
1.0,Shanghai Surprise ,"['Baahubali: The Beginning\xa0' 'I Served the King of England\xa0'
 'Nomad: The Warrior\xa0' 'Ajami\xa0' '4 Months, 3 Weeks and 2 Days\xa0'
 'El Mariachi\xa0' 'Journey from the Fall\xa0' 'The Raid: Redemption\xa0'
 'Apocalypto\xa0' 'CJ7\xa0' 'Monsoon Wedding\xa0'
 'In the Land of Blood and Honey\xa0' 'The Kite Runner\xa0'
 'Waltz with Bashir\xa0' 'My Lucky Star\xa0' 'Irreversible\xa0'
 'Ong-bak 2\xa0' 'Elling\xa0' 'Samsara\xa0' 'Dogtooth\xa0' 'The Hunt\xa0'
 'Travelers and Magicians\xa0' 'Steamboy\xa0' 'Summer Storm\xa0' 'Ida\xa0'
 'The Passion of the Christ\xa0' 'Mongol: The Rise of Genghis Khan\xa0'
 'Rabbit-Proof Fence\xa0' 'Curse of the Golden Flower\xa0'
 'Of Horses and Men\xa0' 'The Great Raid\xa0' 'Tsotsi\xa0'
 'Easy Money\xa0' 'Elite Squad\xa0' 'I Am Love\xa0'
 'Winter in Wartime\xa0' 'Night Watch\xa0' 'Lady Vengeance\xa0'
 'Fateless\xa0' 'Old School\xa0' 'A Separation\xa0']",['USA' 'France' 'Spain'],0.9999999870920975,"['0.0' '0.0' '0.0' '0.9899785345534254' '0.0' '0.9999854168084282' '0.0'
 '0.99910714509243' '0.0' '0.9998125909873001' '0.9999942096403405' '0.0'
 '0.9998643157415493' '0.99943380599467' '0.0' '0.9999995011132325'
 '0.9999679270194308' '0.9915804319332067' '0.0' '0.0' '0.99647229412431'
 '0.0' '0.9999540587459957' '0.9996774881478304' '0.9995054981354915'
 '0.0' '0.0' '0.9998410450157993' '0.9999997686264746' '0.0' '0.0' '0.0'
 '0.999871442274719' '0.9999869215177029' '0.9999616109919269'
 '0.9994577499098065' '0.9995374174231827' '0.9949274100810223' '0.0'
 '0.9999999738286997' '0.9984092108258888']",['0.9999997772446698' '0.9999938204932263' '0.999969876688317']
10.0,The Rose ,"['Baahubali: The Beginning\xa0' 'I Served the King of England\xa0'
 'Nomad: The Warrior\xa0' 'Ajami\xa0' '4 Months, 3 Weeks and 2 Days\xa0'
 'Instructions Not Included\xa0' 'Journey from the Fall\xa0'
 'The Act of Killing\xa0' 'Apocalypto\xa0' 'Kung Fu Hustle\xa0'
 'The Lunchbox\xa0' 'In the Land of Blood and Honey\xa0'
 'The Kite Runner\xa0' 'Waltz with Bashir\xa0' 'My Lucky Star\xa0'
 'The Girl on the Train\xa0' 'The Protector\xa0' 'Elling\xa0'
 'Samsara\xa0' 'Dogtooth\xa0' 'The Hunt\xa0' 'Travelers and Magicians\xa0'
 'R100\xa0' 'Buen Día, Ramón\xa0' 'Dekalog\xa0            '
 'The Passion of the Christ\xa0' 'Mongol: The Rise of Genghis Khan\xa0'
 'Rabbit-Proof Fence\xa0' 'Red Cliff\xa0' 'Of Horses and Men\xa0'
 'The Great Raid\xa0' 'Tsotsi\xa0' 'As It Is in Heaven\xa0'
 'Futuro Beach\xa0' 'The Beyond\xa0' 'Black Book\xa0' 'Lilya 4-Ever\xa0'
 'The Host\xa0' 'Fateless\xa0' ""2016: Obama's America\xa0""
 'A Separation\xa0']",['USA' 'UK' 'France'],0.9999999093929844,"['0.0' '0.0' '0.0' '0.9698317260156591' '0.0' '0.9999693841295281' '0.0'
 '0.9969804582638313' '0.0' '0.9993804866375002' '0.9997923168483116'
 '0.0' '0.9903789705975515' '0.9934923027995636' '0.0'
 '0.9999990947038383' '0.9999180324147892' '0.9962617430168756' '0.0'
 '0.0' '0.9971061351539445' '0.0' '0.9998397181175281'
 '0.9996610483285213' '0.99333654689831' '0.0' '0.0' '0.9926348469275029'
 '0.9999986347228669' '0.0' '0.0' '0.0' '0.9943979496282851'
 '0.9998713648470261' '0.9996943625957625' '0.9444604204168834'
 '0.9988091624115739' '0.9585988246087281' '0.0' '0.9999999471972556'
 '0.9948486400576042']",['0.9999858457774301' '0.9998776380594122' '0.9994019563443486']
